tractid,dmg_wind_total_tract_1971,dmg_wind_total_tract_2021,dmg_wind_total_tract_2071,dmg_wind_total_tract_1971_mlt7,dmg_wind_total_tract_2021_mlt7,dmg_wind_total_tract_2071_mlt7,affected_wind_over5k_tract_1971,affected_wind_over5k_tract_2021,affected_wind_over5k_tract_2071,dmg_wind_total_residential_tract_1971,dmg_wind_total_residential_tract_2021,dmg_wind_total_residential_tract_2071,dmg_wind_total_commercial_tract_1971,dmg_wind_total_commercial_tract_2021,dmg_wind_total_commercial_tract_2071,dmg_wind_total_industrial_tract_1971,dmg_wind_total_industrial_tract_2021,dmg_wind_total_industrial_tract_2071,dmg_wind_total_public_tract_1971,dmg_wind_total_public_tract_2021,dmg_wind_total_public_tract_2071,dmg_cc_wind_total_tract_1971to2021_ratio_mlt,dmg_cc_wind_total_tract_2021to2071_ratio_mlt,dmg_surge_total_tract_1971,dmg_surge_total_tract_2021,dmg_surge_total_tract_2071,dmg_surge_total_tract_1971_mlt7,dmg_surge_total_tract_2021_mlt7,dmg_surge_total_tract_2071_mlt7,affected_surge_over5k_tract_1971,affected_surge_over5k_tract_2021,affected_surge_over5k_tract_2071,dmg_surge_total_residential_tract_1971,dmg_surge_total_residential_tract_2021,dmg_surge_total_residential_tract_2071,dmg_surge_total_commercial_tract_1971,dmg_surge_total_commercial_tract_2021,dmg_surge_total_commercial_tract_2071,dmg_surge_total_industrial_tract_1971,dmg_surge_total_industrial_tract_2021,dmg_surge_total_industrial_tract_2071,dmg_surge_total_public_tract_1971,dmg_surge_total_public_tract_2021,dmg_surge_total_public_tract_2071,dmg_cc_surge_total_tract_1971to2021_ratio_mlt,dmg_cc_surge_total_tract_2021to2071_ratio_mlt
NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Damage,No Damage,103463.0607,104394.1075,0,1 - 350K,1 - 350K,0,1,1,0,103463.0607,104394.1075,0,0,0,0,0,0,0,0,0,0,Low Damage,No Damage
22051027601,127590.67701486076,161959.29917320685,306403.6402065417,1 - 350K,1 - 350K,1 - 350K,11,13,27,16680.184318304207,20664.872238215827,43199.55539928266,93787.84638002796,119090.06087577506,218382.21775424745,2734.6324143129978,3372.8027684760127,6263.447049741568,14388.013902215567,18831.56329073994,38558.420003270054,25 to 49%,50 to 99%,96373.7835,100494.0563,113548.5852,1 - 350K,1 - 350K,1 - 350K,1,1,1,96373.7835,100494.0563,113548.5852,0,0,0,0,0,0,0,0,0,Low Damage,Low Damage
22045031600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Damage,No Damage,95214.6831,95311.9779,95895.6755,1 - 350K,1 - 350K,1 - 350K,1,1,1,95214.6831,95311.9779,95895.6755,0,0,0,0,0,0,0,0,0,Low Damage,Low Damage
22057021902,17446772.671791468,25343951.77609217,70077930.95803134,10M - 50M,10M - 50M,> 50M,914,1167,1601,16120345.505686352,23452508.21837253,64666036.836065106,940553.4940962456,1330568.3916270544,3712073.3597008577,40188.72129944144,59931.55109063753,173661.1481552179,345684.9507094312,500943.6150019488,1526159.6141101543,25 to 49%,100% or more,94489.50220000002,94489.50220000002,94489.50220000002,1 - 350K,1 - 350K,1 - 350K,1,1,1,94489.50220000002,94489.50220000002,94489.50220000002,0,0,0,0,0,0,0,0,0,Low Damage,Low Damage
22007050201,96633.79498492894,107592.05505501786,151216.9040314172,1 - 350K,1 - 350K,1 - 350K,7,11,16,96633.79498492894,107592.05505501786,151216.9040314172,0,0,0,0,0,0,0,0,0,0 to 24%,25 to 49%,87743.3823,88121.45430000001,89255.697,1 - 350K,1 - 350K,1 - 350K,5,5,5,87743.3823,88121.45430000001,89255.697,0,0,0,0,0,0,0,0,0,Low Damage,Low Damage
22019001401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Damage,No Damage,61788.4013,61635.6417,61788.4013,1 - 350K,1 - 350K,1 - 350K,3,3,3,61788.4013,61635.6417,61788.4013,0,0,0,0,0,0,0,0,0,Low Damage,Low Damage
22019002204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Damage,No Damage,53723.4616,53723.4616,54202.148100000006,1 - 350K,1 - 350K,1 - 350K,1,1,1,53723.4616,53723.4616,54202.148100000006,0,0,0,0,0,0,0,0,0,Low Damage,Low Damage
22093040700,9316219.094724037,13252440.65488972,37886750.93438589,1M - 10M,10M - 50M,10M - 50M,372,562,1212,8573455.173078965,12067083.967231063,33426121.86387725,552408.643260529,849505.1141372599,2890284.7179959374,118416.61002153347,207263.238045844,956750.4287365422,71938.6683630065,128588.33547555048,613593.923776156,25 to 49%,100% or more,46120.7879,50292.2001,64185.473900000005,1 - 350K,1 - 350K,1 - 350K,3,3,3,38726.659,41578.8064,49998.6247,7394.128900000001,8713.3937,14186.8492,0,0,0,0,0,0,Low Damage,Low Damage
22109000902,18258345.520592503,26837586.50844352,85494662.7086618,10M - 50M,10M - 50M,> 50M,597,781,1105,8060735.176434993,10991143.479455804,28719271.709709004,8606292.604517866,13353762.815870443,48065030.34336578,396824.2682095311,667282.5264318075,2710017.5619097217,1194493.471430114,1825397.6866854648,6000343.093677295,25 to 49%,100% or more,47156.6767,47307.81650000001,48516.899300000005,1 - 350K,1 - 350K,1 - 350K,1,1,1,47156.6767,47307.81650000001,48516.899300000005,0,0,0,0,0,0,0,0,0,Low Damage,Low Damage
22053000200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Damage,No Damage,41449.9255,41449.9255,41449.9255,1 - 350K,1 - 350K,1 - 350K,3,3,3,41449.9255,41449.9255,41449.9255,0,0,0,0,0,0,0,0,0,Low Damage,Low Damage
